文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_0.vasp, 平面夹角:, 89.95 , 原子夹角: , 173.13 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_23.vasp, 平面夹角:, 69.41 , 原子夹角: , 164.33 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_24.vasp, 平面夹角:, 68.65 , 原子夹角: , 163.59 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_25.vasp, 平面夹角:, 67.89 , 原子夹角: , 162.86 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_26.vasp, 平面夹角:, 67.15 , 原子夹角: , 162.14 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_27.vasp, 平面夹角:, 66.43 , 原子夹角: , 161.43 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_28.vasp, 平面夹角:, 65.71 , 原子夹角: , 160.74 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_29.vasp, 平面夹角:, 65.02 , 原子夹角: , 160.06 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_30.vasp, 平面夹角:, 64.33 , 原子夹角: , 159.39 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_31.vasp, 平面夹角:, 63.66 , 原子夹角: , 158.74 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_32.vasp, 平面夹角:, 63.01 , 原子夹角: , 158.09 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_33.vasp, 平面夹角:, 62.37 , 原子夹角: , 157.47 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_34.vasp, 平面夹角:, 61.74 , 原子夹角: , 156.85 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_35.vasp, 平面夹角:, 61.13 , 原子夹角: , 156.25 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_36.vasp, 平面夹角:, 60.54 , 原子夹角: , 155.67 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_37.vasp, 平面夹角:, 59.96 , 原子夹角: , 155.09 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_38.vasp, 平面夹角:, 59.39 , 原子夹角: , 154.53 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_39.vasp, 平面夹角:, 58.83 , 原子夹角: , 153.99 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_40.vasp, 平面夹角:, 58.29 , 原子夹角: , 153.46 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_41.vasp, 平面夹角:, 57.77 , 原子夹角: , 152.94 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_42.vasp, 平面夹角:, 57.26 , 原子夹角: , 152.43 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_43.vasp, 平面夹角:, 56.76 , 原子夹角: , 151.94 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_44.vasp, 平面夹角:, 56.27 , 原子夹角: , 151.46 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_45.vasp, 平面夹角:, 55.80 , 原子夹角: , 150.99 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_46.vasp, 平面夹角:, 55.34 , 原子夹角: , 150.54 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_47.vasp, 平面夹角:, 54.90 , 原子夹角: , 150.10 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_48.vasp, 平面夹角:, 54.47 , 原子夹角: , 149.67 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_49.vasp, 平面夹角:, 54.05 , 原子夹角: , 149.26 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_50.vasp, 平面夹角:, 53.64 , 原子夹角: , 148.86 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_51.vasp, 平面夹角:, 53.25 , 原子夹角: , 148.47 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_52.vasp, 平面夹角:, 52.86 , 原子夹角: , 148.09 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_53.vasp, 平面夹角:, 52.49 , 原子夹角: , 147.72 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_54.vasp, 平面夹角:, 52.14 , 原子夹角: , 147.37 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_55.vasp, 平面夹角:, 51.79 , 原子夹角: , 147.02 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_56.vasp, 平面夹角:, 51.46 , 原子夹角: , 146.69 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_57.vasp, 平面夹角:, 51.13 , 原子夹角: , 146.37 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_58.vasp, 平面夹角:, 50.82 , 原子夹角: , 146.06 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_59.vasp, 平面夹角:, 50.52 , 原子夹角: , 145.77 
文件: C:\Users\wu\Desktop\python_geo\Geometric_distortion\angle_i\angle_1.5\7\IrO6_60.vasp, 平面夹角:, 50.23 , 原子夹角: , 145.48 
